"","Abrams","Barron","Bartok","Basie","Benny","Booker","Brownface","Buckner","Carter","Cash","Dexter","Dizzy","Django","Erroll","Evans","Garett","Garrison","Haden","Hare","Hawkins","Hicks","Hutcherson","Jackson","Lovano","Miles","Mitchell","Monk","Morton","Mulligan","Mweya","Ornette","Peterson","Porkpie","Rahsaan","Richmond","Rollins","Southpaw","Wayne","Wes","Wilson"
"Abrams",0,0,0.00429184549356223,0.0196850393700787,0,0.0078125,0.0294117647058824,0,0.0323886639676113,0,0.0214592274678112,0,0.00977198697068404,0.00404858299595142,0.0151057401812689,0.0108695652173913,0,0,0.0091324200913242,0,0.00326797385620915,0,0.0283400809716599,0.0230263157894737,0.00429184549356223,0,0.0257510729613734,0.0689655172413793,0,0.0136986301369863,0.0128755364806867,0.0123076923076923,0,0.0214592274678112,0,0,0,0.0124223602484472,0.00288184438040346,0.0121212121212121
"Barron",0,0,0,0.018957345971564,0,0,0.0078740157480315,0,0.00490196078431373,0,0,0.00568181818181818,0.0151515151515152,0,0,0,0,0,0,0,0.00380228136882129,0,0.0294117647058824,0.00766283524904215,0,0,0.0105263157894737,0.00458715596330275,0,0,0,0.0106382978723404,0,0,0,0,0,0,0,0.00348432055749129
"Bartok",0.00429184549356223,0,0,0.0295566502463054,0.00469483568075117,0.00975609756097561,0,0,0.0255102040816327,0,0.0384615384615385,0.00595238095238095,0.0390625,0.0102040816326531,0,0,0,0.00427350427350427,0.0535714285714286,0,0.0274509803921569,0,0.0255102040816327,0.00790513833992095,0.0384615384615385,0,0.021978021978022,0.119047619047619,0,0.0654761904761905,0.0549450549450549,0.0145985401459854,0.0200803212851406,0.00549450549450549,0,0,0,0,0,0.025089605734767
"Basie",0.0196850393700787,0.018957345971564,0.0295566502463054,0,0.00854700854700855,0.00884955752212389,0,0,0.0414746543778802,0,0.00492610837438424,0.0264550264550265,0.0180505415162455,0,0.00664451827242525,0,0,0,0.0423280423280423,0,0.0181159420289855,0,0.105990783410138,0.0145985401459854,0.00492610837438424,0,0.00492610837438424,0.125541125541126,0,0.0158730158730159,0.0394088669950739,0.0305084745762712,0.0222222222222222,0.0394088669950739,0,0,0,0,0.00315457413249211,0.0333333333333333
"Benny",0,0,0.00469483568075117,0.00854700854700855,0,0,0.02,0.0253623188405797,0,0,0.00469483568075117,0,0,0,0,0,0.0234741784037559,0,0,0,0,0.0145631067961165,0.00440528634361234,0,0.00469483568075117,0,0,0,0,0,0,0.00327868852459016,0,0,0.0208333333333333,0,0,0.0496688741721854,0.0336391437308868,0
"Booker",0.0078125,0,0.00975609756097561,0.00884955752212389,0,0,0,0,0,0,0.00975609756097561,0.0104712041884817,0.032258064516129,0.0091324200913242,0.0627062706270627,0.00641025641025641,0,0,0.00523560209424084,0,0.0107913669064748,0,0.0045662100456621,0.0072463768115942,0.0292682926829268,0,0.0048780487804878,0,0,0,0.0048780487804878,0,0.0183823529411765,0.0048780487804878,0,0,0,0,0,0.00662251655629139
"Brownface",0.0294117647058824,0.0078740157480315,0,0,0.02,0,0,0.043956043956044,0,0,0,0,0,0,0.00460829493087558,0,0.100840336134454,0,0,0,0.00520833333333333,0.0535714285714286,0,0.00526315789473684,0,0,0,0,0,0,0,0,0,0,0.173469387755102,0.00840336134453781,0,0.0288461538461538,0.0386266094420601,0
"Buckner",0,0,0,0,0.0253623188405797,0,0.043956043956044,0,0.00386100386100386,0,0.0122448979591837,0,0,0,0,0,0.0285714285714286,0,0,0,0,0.00420168067226891,0,0,0,0,0,0,0,0,0,0.00593471810089021,0,0.00408163265306122,0.0446428571428571,0.0163265306122449,0,0.0119760479041916,0.00557103064066852,0
"Carter",0.0323886639676113,0.00490196078431373,0.0255102040816327,0.0414746543778802,0,0,0,0.00386100386100386,0,0,0.0357142857142857,0.010989010989011,0,0.00476190476190476,0.0170068027210884,0,0,0.00403225806451613,0.00549450549450549,0,0,0,0.0476190476190476,0.00374531835205993,0.00510204081632653,0.0128205128205128,0.0255102040816327,0.0267857142857143,0,0,0.0918367346938776,0.0347222222222222,0,0.0459183673469388,0,0,0,0.00701754385964912,0.0032258064516129,0.0341296928327645
"Cash",0,0,0,0,0,0,0,0,0,0,0.0934065934065934,0,0,0,0,0,0,0.0128205128205128,0,0.0632411067193676,0.00784313725490196,0,0,0,0,0.0363636363636364,0.00549450549450549,0,0.0869565217391304,0,0,0,0,0,0,0,0.051948051948052,0,0,0.003584229390681
