"","identity","strength centrality","eigenvector centrality","flow betweenness","symptomatic","age","neighborhood","dominance score"
"1","Abrams",0.405386645918463,0.415707633319381,11.7690777541775,1,14.76,"Central",0.22
"2","Barron",0.122679627343597,0.132570712245926,2.34809627095163,0,13.51,"Central",0.11
"3","Bartok",0.651372787337266,0.7528826420315,6.654984505664,1,41.69,"Central",0.67
"4","Basie",0.68348245498357,0.797843431119139,8.56388860472654,1,31.69,"Central",0.78
"5","Benny",0.217856445734322,0.0743796418726896,6.33894252520753,1,14.26,"West",0.22
"6","Booker",0.253899332857159,0.179632877220718,4.46866290335352,1,12.39,"Central",0
"7","Brownface",0.52007888766264,0.104623439757913,11.4770178152542,0,48.7,"West",0.56
"8","Buckner",0.206730190914422,0.0543562152746813,6.10210013479513,1,14.68,"West",0.22
"9","Carter",0.524568460200112,0.568253527241761,7.46283029116912,1,24.68,"Central",0.56
"10","Cash",0.361658295137381,0.22807501658337,5.27052787001766,0,21.68,"East",0.44
"11","Dexter",0.841913240408408,0.579892747971045,30.2698468968455,1,29.68,"East",0.56
"12","Dizzy",0.311389479395277,0.279406731562572,4.81173099752548,1,37.69,"Central",0
"13","Django",0.316185462469844,0.298973419342595,4.68046819217083,1,17.68,"Central",0.22
"14","Erroll",0.243260679987086,0.202670732161653,3.69121540267048,1,12.67,"Central",0
"15","Evans",0.314717668468764,0.201052925933171,7.01861407948463,1,18.68,"Central",0.22
"16","Garett",0.191343407656313,0.18212411406397,3.21873965896135,1,25.68,"Central",0.33
"17","Garrison",0.501576659970579,0.0848111725183998,3.90312869595807,1,37.69,"West",0.44
"18","Haden",0.17377851914229,0.108670727712636,3.69454568537622,0,15.68,"Central",0.11
"19","Hare",0.618991846185326,0.766632063416641,5.15825841192937,1,45.7,"Central",0.33
"20","Hawkins",0.26630958738637,0.164388099945314,3.59497080666045,0,19.68,"East",0.33
"21","Hicks",0.423749050474053,0.389375137633289,6.12174326138184,1,17.68,"Central",0.33
"22","Hutcherson",0.287465168059245,0.053330208023532,2.61930316309446,1,20.68,"West",0.44
"23","Jackson",0.770028386054409,0.879667058902994,11.11342343596,1,23.68,"Central",0.89
"24","Lovano",0.149713226527817,0.131560905663951,2.81957010329952,0,14.93,"Central",0.11
"25","Miles",0.443530880670854,0.525705702218108,5.55038122756072,1,33.69,"Central",1
"26","Mitchell",0.328970755534769,0.195813030871979,5.19547928207731,0,15.68,"East",0.11
"27","Monk",0.530013304901308,0.562144126952599,6.95315027880299,1,42.7,"Central",0.56
"28","Morton",0.842457947029404,1,7.64713892105748,1,30.69,"Central",0.89
"29","Mulligan",0.390111836914888,0.244572212902048,5.49952898484703,1,25.68,"East",0.44
"30","Mweya",0.390263294922185,0.381249988767288,5.5092405092686,1,52.7,"Central",0.22
"31","Ornette",0.666757152548779,0.738231608203974,8.42621255816939,1,37.69,"Central",0.44
"32","Peterson",0.471902434534089,0.39497556476797,10.6237259278755,1,19.68,"Central",0.56
"33","Porkpie",0.237878056112491,0.191336027618516,4.39634220264284,1,20.68,"Central",0.44
"34","Rahsaan",0.243300489299471,0.27695987031712,3.50939591169784,0,27.68,"Central",0.67
"35","Richmond",0.509192896130785,0.0834152071572165,4.02972657464568,1,27.68,"West",0.78
"36","Rollins",0.188587962783297,0.0345382100279708,1.60345263268049,0,28.68,"West",0.67
"37","Southpaw",0.45393755882163,0.333052266270349,5.13289496898975,0,21.68,"East",0.22
"38","Wayne",0.407893103966717,0.141117280789086,17.9489901135407,1,18.68,"West",0.33
"39","Wes",0.326751030842472,0.0941564656770291,7.70647482480538,1,17.26,"West",0.22
"40","Wilson",0.364241637733501,0.389249303711398,3.54087785864365,1,14.76,"Central",0.22
